"","Country1","Country2","Period","pi_value","year"
"369",9,13,1,0.000519608420653997,2000
"370",10,13,1,0.00119792783171693,2000
"371",11,13,1,0.00250676359251837,2000
"372",12,13,1,0.00109640779981554,2000
"373",13,13,1,0.771644050666445,2000
"374",14,13,1,0.00132455379297754,2000
"375",15,13,1,0.000725056094839992,2000
"376",16,13,1,0.00275677966187427,2000
"377",17,13,1,0.00483323926612794,2000
"378",18,13,1,0.00109707350548352,2000
"379",19,13,1,0.00437206586445074,2000
"380",20,13,1,0.000703729276664656,2000
"381",21,13,1,0.000636677836613191,2000
"382",22,13,1,0.000267926776284039,2000
"383",23,13,1,0.000125481610762215,2000
"384",24,13,1,0.000407483179931577,2000
"385",25,13,1,0.000598026230095667,2000
"386",26,13,1,0.000584561576368676,2000
"387",27,13,1,0.000579100082258428,2000
"388",28,13,1,0.000474378373164838,2000
"389",29,13,1,0.00149444501242681,2000
"390",30,13,1,0.00313722923689025,2000
"391",1,14,1,0.00184627247661288,2000
"392",2,14,1,0.000633353951167164,2000
"393",3,14,1,0.000594948191619607,2000
"394",4,14,1,0.00191533510862306,2000
"395",5,14,1,0.00164897307428595,2000
"396",6,14,1,0.000415941450267865,2000
"397",7,14,1,0.00171076150333294,2000
"398",8,14,1,0.000902001429658005,2000
"399",9,14,1,0.00088973884594295,2000
"400",10,14,1,0.00135347592563061,2000
"401",11,14,1,0.00333329906101828,2000
"402",12,14,1,0.000761857926067221,2000
"403",13,14,1,0.00199602107286942,2000
"404",14,14,1,0.886354162425537,2000
"405",15,14,1,0.00092623416534145,2000
"406",16,14,1,0.000558811110208582,2000
"407",17,14,1,0.00058305075189949,2000
"408",18,14,1,0.00145675956578348,2000
"409",19,14,1,0.00245254071313042,2000
"410",20,14,1,0.00112149857269833,2000
"411",21,14,1,0.000786154449281092,2000
"412",22,14,1,0.000662817301177086,2000
"413",23,14,1,0.000147335876456118,2000
"414",24,14,1,0.00373792458755983,2000
"415",25,14,1,0.000401941404705279,2000
"416",26,14,1,0.000456057468731271,2000
"417",27,14,1,0.00170428809507983,2000
"418",28,14,1,0.00130856736501314,2000
"419",29,14,1,0.00196002819927734,2000
"420",30,14,1,0.00388688415060073,2000
"421",1,15,1,0.00565888782531237,2000
"422",2,15,1,0.0196466904213275,2000
"423",3,15,1,0.00342491804630853,2000
"424",4,15,1,0.00383272182748107,2000
"425",5,15,1,0.027820989188263,2000
"426",6,15,1,0.00087905620830561,2000
"427",7,15,1,0.0158843734910976,2000
"428",8,15,1,0.018137636325704,2000
"429",9,15,1,0.00756897961679712,2000
"430",10,15,1,0.0213367896965404,2000
"431",11,15,1,0.0125066086922509,2000
"432",12,15,1,0.0380066078393537,2000
"433",13,15,1,0.00346421179458131,2000
"434",14,15,1,0.00214047754626713,2000
"435",15,15,1,0.868387255980317,2000
"436",16,15,1,0.00142703255146512,2000
"437",17,15,1,0.00228484676516186,2000
"438",18,15,1,0.00309220052468816,2000
"439",19,15,1,0.0137065463710898,2000
"440",20,15,1,0.00759183608025204,2000
"441",21,15,1,0.0162359700832895,2000
"442",22,15,1,0.0163879917217297,2000
"443",23,15,1,0.0294148743684587,2000
"444",24,15,1,0.0116661639792037,2000
"445",25,15,1,0.0140204822189793,2000
"446",26,15,1,0.0469462112189876,2000
"447",27,15,1,0.00852095246481546,2000
"448",28,15,1,0.00839515952989165,2000
"449",29,15,1,0.00321929808192568,2000
"450",30,15,1,0.00969173975771323,2000
"451",1,16,1,0.0181685451314241,2000
"452",2,16,1,0.0040826052039541,2000
"453",3,16,1,0.00328741292962157,2000
"454",4,16,1,0.00638178215647491,2000
"455",5,16,1,0.00663411896799112,2000
"456",6,16,1,0.0058282290632204,2000
"457",7,16,1,0.00616977040150931,2000
"458",8,16,1,0.00340531199833547,2000
"459",9,16,1,0.00532761334206909,2000
"460",10,16,1,0.00462983079164752,2000
"461",11,16,1,0.00795133708386104,2000
"462",12,16,1,0.00585863644007041,2000
"463",13,16,1,0.0356114605963282,2000
"464",14,16,1,0.00471104661974051,2000
"465",15,16,1,0.00271099657211729,2000
"466",16,16,1,0.93476053585351,2000
"467",17,16,1,0.0169879734091195,2000
"468",18,16,1,0.00503496393968297,2000
"469",19,16,1,0.00991338544121402,2000
"470",20,16,1,0.00497578697401789,2000
"471",21,16,1,0.00212624465332774,2000
"472",22,16,1,0.00302635243603233,2000
"473",23,16,1,0.000594474274747741,2000
"474",24,16,1,0.00191118018343365,2000
"475",25,16,1,0.0012113845453725,2000
"476",26,16,1,0.00162550143040776,2000
"477",27,16,1,0.00403554587840152,2000
"478",28,16,1,0.00318818791079075,2000
"479",29,16,1,0.0101984962778743,2000
"480",30,16,1,0.0244216650207127,2000
"481",1,17,1,0.0064289282216856,2000
"482",2,17,1,0.00113498640584548,2000
"483",3,17,1,0.002474896547425,2000
"484",4,17,1,0.00368254090507499,2000
"485",5,17,1,0.00114525618637399,2000
"486",6,17,1,0.0108841513842474,2000
"487",7,17,1,0.00204221577149473,2000
"488",8,17,1,0.00180525959256828,2000
"489",9,17,1,0.00173266921723962,2000
"490",10,17,1,0.00165186967851665,2000
"491",11,17,1,0.00377589676823147,2000
"492",12,17,1,0.0124157828977204,2000
"493",13,17,1,0.0208178963378687,2000
"494",14,17,1,0.00345062715644249,2000
"495",15,17,1,0.00109769225907767,2000
"496",16,17,1,0.0033649355210513,2000
"497",17,17,1,0.89517753614613,2000
"498",18,17,1,0.00356689624772738,2000
"499",19,17,1,0.00247995870754685,2000
"500",20,17,1,0.00315713650360555,2000
"501",21,17,1,0.00329627193790575,2000
"502",22,17,1,0.00128763625238522,2000
"503",23,17,1,0.00205136785480901,2000
"504",24,17,1,0.00388010078146773,2000
"505",25,17,1,0.000305859880280662,2000
"506",26,17,1,0.00147910242490833,2000
"507",27,17,1,0.00157925737611512,2000
"508",28,17,1,0.00253926714639596,2000
